20220330	10:49:00	5993c793-fb9e-4103-ba4f-103fe7a9a958	GET	undefined	/subdir/css/style.css
20220330	11:01:57	7bc69f7b-ce72-4332-9f67-562a60b96040	GET	undefined	/
20220330	11:02:12	fe2e64e2-4382-402c-ad4e-9842b56faae2	GET	undefined	/
20220330	11:05:36	f1a4da2d-9ab6-4bf2-a5a3-747dca3e40c8	GET	undefined	/
20220330	11:07:22	4f639ca1-5e5a-473a-aee5-0d707ca9473a	GET	undefined	/
20220330	11:07:26	3104914b-3711-4f27-b62a-416d88a68170	GET	undefined	/
20220330	11:09:32	bac63d27-d98d-45ba-9dbf-b39974eb584b	GET	undefined	/
20220330	11:09:32	9aa0967d-94a3-4543-a246-2dc30d169136	GET	undefined	/css/style.css
20220330	11:09:32	38a27def-a9c7-4cad-b73b-266c10dc67f9	GET	undefined	/img/showcase.jpg
20220330	11:09:40	34de4587-ab1a-41c1-88e7-c90520395adb	GET	undefined	/
20220330	11:09:40	f7b02bb1-7bbd-474a-8f32-cac5858fe899	GET	undefined	/css/style.css
20220330	11:16:26	a601fa1d-cb1d-4ba7-93e9-f148e529c246	GET	undefined	/
20220330	11:16:26	a312630b-50ea-4fa1-b073-292704040800	GET	undefined	/css/style.css
20220330	11:16:26	cf1853af-684e-4fdc-82a2-c09edeea1495	GET	undefined	/img/showcase.jpg
20220330	11:16:50	3000841b-9925-40e8-810e-3cb98fd18dcd	GET	undefined	/new-page
20220330	11:16:50	21f07177-f054-4820-9904-c65b24d347c8	GET	undefined	/css/style.css
20220330	11:16:50	0301710d-aefe-4664-a983-699a6b32c54b	GET	undefined	/img/IMG_2563.jpg
20220330	11:21:21	d44dc71b-4444-4563-a691-fae521f7c0be	GET	undefined	/new-page
20220330	11:21:21	32c05993-d865-4a46-91a0-336a063bc053	GET	undefined	/img/squidward.jpg
20220330	11:21:21	3f740874-d5ac-4b35-bb7d-4bb338aac427	GET	undefined	/css/style.css
20220330	11:21:55	07bf198c-326b-47ba-83c9-822998844a97	GET	undefined	/new-page.html
20220330	11:21:55	5f4c51f8-0ff5-496b-8923-7ba61f2b072d	GET	undefined	/css/style.css
20220330	11:21:55	9be58639-381f-455f-b4ca-a5f1659f7e1b	GET	undefined	/img/squidward.jpg
20220330	11:22:36	9255324b-5055-4d99-b1ef-9f2b044139ec	GET	undefined	/index
20220330	11:22:36	71842c01-39fb-4838-9e32-db8e0ca2dd5b	GET	undefined	/css/style.css
20220330	11:22:36	77b2cadc-9a0c-4a16-86f5-63403b47d0e4	GET	undefined	/img/showcase.jpg
20220330	13:42:59	c10ab663-7955-4e6d-a8ed-1f05b01e56a7	GET	undefined	/recipes
20220330	13:44:58	a5ad711d-d756-4deb-b41f-e88638b5c0b3	GET	undefined	/recipes
20220330	13:49:50	ec4e061d-016d-4e76-a9e0-21ddaf987369	GET	undefined	/recipes
20220330	13:54:22	ccad362a-d91c-49db-87ab-eab751a9c780	GET	undefined	/recipes
20220330	14:17:34	4461c9af-e00d-413f-a6d9-d5ae82c2bcaa	GET	undefined	/recipes
20220330	14:19:59	b4842b1f-fcb2-4112-a8ba-c22defc5cf77	GET	undefined	/recipes
20220330	14:26:58	066dbe5a-37f7-41a5-ba13-9228bf43db13	GET	undefined	/
20220330	14:26:58	271fed63-f74b-48d5-b362-f0cdb38deac1	GET	undefined	/css/style.css
20220330	14:26:58	36fde826-7c7c-4896-b823-eb7056bdf9d3	GET	undefined	/img/showcase.jpg
20220330	14:27:56	e1843204-53e1-4e9c-b25c-829c1d74d506	GET	undefined	/recipes
20220330	14:38:36	46b14086-43dc-4168-9f64-749718787ced	GET	undefined	/
20220330	14:38:36	0fec6357-5e94-4f5f-a5fd-fceaef220c32	GET	undefined	/css/style.css
20220330	14:38:36	04d285ed-86b3-4bd3-a25d-6b521093db62	GET	undefined	/img/showcase.jpg
20220330	15:00:44	dc8e834f-8a21-4cb7-859f-2ecc152deb2e	GET	undefined	/recipes
20220330	15:02:18	cc8ba121-e214-43a2-a4e7-2a650e4b1acd	GET	undefined	/recipes
20220330	15:06:51	f88859f9-65bc-48a4-9f40-f49082e57918	POST	undefined	/recipes
20220330	15:08:26	4e1e5799-856d-4f8c-9067-9af0c3ee1755	POST	undefined	/recipes
20220330	15:09:03	d2667739-b357-488b-83c9-80b4a61f061c	GET	undefined	/recipes
20220330	15:09:49	3d4a56ec-0fd4-49b4-bef2-62cf82e00387	POST	undefined	/recipes
20220330	15:12:16	5f3e0a2a-3f17-4084-860e-7f7380fab2ff	GET	undefined	/recipes
20220330	15:14:04	7628c24f-f51e-48c2-90a7-b847f67efb94	GET	undefined	/css/style.css
20220330	15:14:04	d1c8f1e8-5a82-4981-9b53-d055c44f031e	GET	undefined	/img/showcase.jpg
20220330	15:15:46	7a7d7719-f473-486b-be16-0d6ad1074b11	GET	undefined	/recipes
20220330	15:21:28	0093b2d0-14d7-4699-90b9-bbefaf233bbb	POST	undefined	/recipes
20220330	15:22:07	7b3ae299-95b0-40f6-b729-429346209313	POST	undefined	/recipes
20220330	15:25:37	15506d57-5f5d-4032-aa37-bdaedcd06884	POST	undefined	/recipes
20220330	15:31:29	a3b27f79-c44f-4cc4-856b-fccfdc6cd3e5	POST	undefined	/recipes
20220330	15:33:10	860a85b3-32fa-4736-a00b-a10dd328d7e6	PUT	undefined	/recipes
20220330	15:33:26	976ca431-85b4-4e87-a2ce-80a716789f8d	PUT	undefined	/recipes
20220330	15:35:24	84d2dab1-dd7f-4a4f-8a01-33cf5808ce24	POST	undefined	/recipes
20220330	15:36:39	b99e19c2-e432-476e-b628-a7e3444da3a4	DELETE	undefined	/recipes
20220330	15:37:08	9590ae03-caf5-469c-a709-9ee8f53dcb43	GET	undefined	/recipes
20220330	15:39:03	12ec0555-f7cc-46eb-bbfe-a7b35700e690	PUT	undefined	/recipes
20220330	15:39:20	29f622b6-9c2c-4dc9-ab3a-7d310a1469f1	POST	undefined	/recipes
20220330	15:39:36	86eaf7b2-c7a2-4011-af94-f120df67e8cd	DELETE	undefined	/recipes
20220330	15:40:36	9a553cbd-5b54-43d5-9b81-fe3557001bc7	GET	undefined	/recipes/1
20220330	16:50:58	40bef551-e987-445d-9d00-3b48f02435bc	GET	undefined	/recipes
20220330	16:51:53	57bd8e5b-e59f-4028-8c54-1bae50c700d7	POST	undefined	/recipes
20220330	16:56:12	f59e88c7-c583-47bd-b59e-44eb54388384	POST	undefined	/recipes
20220330	16:56:42	b7a19c3a-77ee-420b-b1a5-d0c002487b2b	GET	undefined	/recipes
20220330	16:58:04	38cc6430-d962-47cf-823a-b45e08e8c09b	POST	undefined	/recipes
20220330	16:58:52	d6765433-dbc3-4518-bcba-3c5e66106025	PUT	undefined	/recipes
20220330	16:59:44	c26ecb39-3510-45d0-b824-ef71e4e49e89	DELETE	undefined	/recipes
20220330	17:00:41	a2630c77-3681-4ff9-8a19-71668fdf0035	GET	undefined	/recipes/4
20220330	17:04:35	b804d18e-fbdc-46dc-a916-003c3857ea2f	GET	undefined	/
20220330	17:04:35	00ed7826-e7a8-4098-bd09-31b42ee95266	GET	undefined	/css/style.css
20220330	17:04:35	38a257cd-84a7-4e23-84cc-74af5355075e	GET	undefined	/img/showcase.jpg
20220331	13:02:23	b71c282e-f1df-444e-969d-c359d1b71cf4	POST	undefined	/register
20220331	13:03:23	3e597ed6-8c4a-446e-ab58-8a1df8eb1249	POST	undefined	/register
20220331	13:20:00	23094eb5-59a6-427c-85f3-c4ea7bcf8dd3	POST	undefined	/auth
